"85";"effort revive iran nuclear deal hauled back brink ";"0.87322";"0.00039";"0.00039";"0.07148";"0.00039";"0.00039";"0.00039";"0.00039";"0.00829";"0.04384";"0.00039";"0.00039"
"86";"memory memory maria stepanova fitzcarraldo edition";"0.00029";"0.04611";"0.00029";"0.00029";"0.00029";"0.63030";"0.00029";"0.06615";"0.00029";"0.00029";"0.02892";"0.22652"
"87";"russian authority seeking detain prominent investi";"0.00047";"0.00047";"0.15994";"0.00047";"0.00047";"0.08021";"0.00985";"0.74156";"0.00047";"0.00047";"0.00047";"0.00516"
"88";"retaliate russia continues carry malicious cyber a";"0.38825";"0.00166";"0.00015";"0.00015";"0.00015";"0.07566";"0.00015";"0.37919";"0.00015";"0.15418";"0.00015";"0.00015"
"89";"eu prepare downturn relation vladimir putin russia";"0.72841";"0.00028";"0.00028";"0.00028";"0.01412";"0.00305";"0.00581";"0.24668";"0.00028";"0.00028";"0.00028";"0.00028"
"90";"hour russian state news channel thursday began mig";"0.43071";"0.00018";"0.00018";"0.07964";"0.00388";"0.05746";"0.00018";"0.22191";"0.00018";"0.20344";"0.00018";"0.00203"
"91";"widely reputed game belligerence bellicosity woman";"0.07374";"0.00052";"0.03713";"0.00052";"0.00052";"0.11559";"0.00052";"0.45554";"0.00052";"0.00052";"0.31433";"0.00052"
"92";"saturday may chinese state news agency xinhua repo";"0.19874";"0.00090";"0.03687";"0.40558";"0.00090";"0.14478";"0.00090";"0.08183";"0.12680";"0.00090";"0.00090";"0.00090"
"93";"russia ha recall many troop crimea border region u";"0.20571";"0.00020";"0.00419";"0.00020";"0.00020";"0.00020";"0.01816";"0.75838";"0.00020";"0.00020";"0.00818";"0.00419"
"94";"moscow ha expelled czech diplomat tit tat response";"0.07209";"0.00029";"0.03475";"0.01177";"0.00029";"0.03475";"0.00029";"0.84463";"0.00029";"0.00029";"0.00029";"0.00029"
"95";"thats tonight thanks reading along covered federal";"0.00443";"0.00044";"0.04351";"0.02158";"0.03953";"0.03913";"0.00004";"0.02955";"0.17912";"0.64259";"0.00004";"0.00004"
"96";"quiz master already enjoying christmas break left ";"0.00153";"0.35429";"0.10890";"0.35429";"0.00153";"0.01687";"0.01687";"0.00153";"0.00153";"0.00153";"0.09356";"0.04755"
"97";"secret european intelligence report ha concluded c";"0.00039";"0.00039";"0.00039";"0.00039";"0.00039";"0.27469";"0.00039";"0.68613";"0.00039";"0.00039";"0.03566";"0.00039"
"98";"russia natural population ha undergone largest pea";"0.17817";"0.00036";"0.00036";"0.00036";"0.00036";"0.20661";"0.13905";"0.00747";"0.46622";"0.00036";"0.00036";"0.00036"
"99";"thanks following along weve closed blog today catc";"0.02993";"0.05951";"0.00743";"0.00003";"0.00003";"0.00003";"0.00003";"0.01965";"0.86429";"0.01900";"0.00003";"0.00003"
"100";"usually bad news dumped late friday muscovite head";"0.00007";"0.00081";"0.07181";"0.07625";"0.00007";"0.34544";"0.03853";"0.46154";"0.00525";"0.00007";"0.00007";"0.00007"
"101";"russia emergency minister ha died training exercis";"0.00041";"0.00041";"0.00041";"0.00041";"0.00041";"0.09789";"0.00041";"0.84931";"0.00041";"0.02478";"0.00041";"0.02478"
"102";"french german youtubers blogger influencers offere";"0.00032";"0.00032";"0.41858";"0.00032";"0.00032";"0.27810";"0.00032";"0.00032";"0.29725";"0.00032";"0.00032";"0.00351"
"103";"extent night fraught worry could provide moment po";"0.00260";"0.03568";"0.00024";"0.31687";"0.00496";"0.09948";"0.00024";"0.00024";"0.00260";"0.00496";"0.53190";"0.00024"
"104";"russian athlete begin competing week tokyo olympic";"0.10666";"0.00023";"0.14831";"0.00255";"0.00255";"0.19921";"0.00023";"0.22004";"0.00023";"0.00023";"0.31953";"0.00023"
"105";"russia took action tuesday slow speed twitter move";"0.08469";"0.00027";"0.38154";"0.00572";"0.00027";"0.00027";"0.04657";"0.46596";"0.01389";"0.00027";"0.00027";"0.00027"
"106";"second book french anthropologist nastassja martin";"0.05937";"0.01143";"0.00037";"0.31010";"0.00037";"0.36173";"0.00037";"0.02249";"0.05568";"0.00406";"0.00037";"0.17367"
"107";"france senior naval commander ha future conflict l";"0.52228";"0.00233";"0.00870";"0.05539";"0.01931";"0.00021";"0.00233";"0.33553";"0.00233";"0.01507";"0.00021";"0.03629"
"108";"covid ha caused loss year life according largest e";"0.00036";"0.00036";"0.00036";"0.00036";"0.14571";"0.36010";"0.00400";"0.00036";"0.40007";"0.00036";"0.08757";"0.00036"
"109";"russian diplomat lashed uk joining condemning russ";"0.36160";"0.00321";"0.03526";"0.00321";"0.00029";"0.00903";"0.00321";"0.46358";"0.11393";"0.00321";"0.00321";"0.00029"
"110";"team ever deserved make progress much denmark thri";"0.00268";"0.00024";"0.00024";"0.20696";"0.00024";"0.00024";"0.00024";"0.01727";"0.00024";"0.00024";"0.77116";"0.00024"
"111";"earlier today set following puzzle challenge russi";"0.00724";"0.00034";"0.03480";"0.67919";"0.00034";"0.26223";"0.00034";"0.00034";"0.01413";"0.00034";"0.00034";"0.00034"
